setup description,timestamp_receiver,timestamp_server,filename,frame_id,resolution,jpeg_quality,size_kb,compression_time_ms,encryption_time_ms,fps,Mbits,latency_ms
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:13.273,2025-03-28 12:12:13.278,cityNight_640x480.jpg,71,640x480,20,21.47,1.33395,0.0,33,5.6681,5.616
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:13.304,2025-03-28 12:12:13.310,cityNight_640x480.jpg,72,640x480,20,21.47,1.00064,0.0,33,5.6681,6.056
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:13.334,2025-03-28 12:12:13.341,cityNight_640x480.jpg,73,640x480,20,21.47,0.85402,0.0,33,5.6681,7.783
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:13.365,2025-03-28 12:12:13.371,cityNight_640x480.jpg,74,640x480,20,21.47,1.25003,0.0,33,5.6681,6.415
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:13.396,2025-03-28 12:12:13.402,cityNight_640x480.jpg,75,640x480,20,21.47,1.17254,0.0,33,5.6681,6.459
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:13.427,2025-03-28 12:12:13.432,cityNight_640x480.jpg,76,640x480,20,21.47,1.0004,0.0,33,5.6681,5.879
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:13.458,2025-03-28 12:12:13.464,cityNight_640x480.jpg,77,640x480,20,21.47,1.06096,0.0,33,5.6681,6.005
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:13.489,2025-03-28 12:12:13.494,cityNight_640x480.jpg,78,640x480,20,21.47,1.0004,0.0,33,5.6681,5.339
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:13.521,2025-03-28 12:12:13.527,cityNight_640x480.jpg,79,640x480,20,21.47,1.00136,0.99707,33,5.6681,6.0
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:13.551,2025-03-28 12:12:13.559,cityNight_640x480.jpg,80,640x480,20,21.47,1.00017,0.9973,33,5.6681,8.174
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:13.582,2025-03-28 12:12:13.588,cityNight_640x480.jpg,81,640x480,20,21.47,1.42217,0.0,33,5.6681,6.063
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:13.614,2025-03-28 12:12:13.620,cityNight_640x480.jpg,82,640x480,20,21.47,1.00565,0.0,33,5.6681,6.318
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:13.645,2025-03-28 12:12:13.651,cityNight_640x480.jpg,83,640x480,20,21.47,1.00541,0.0,33,5.6681,6.942
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:13.676,2025-03-28 12:12:13.683,cityNight_640x480.jpg,84,640x480,20,21.47,1.00088,0.0,33,5.6681,7.301
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:13.707,2025-03-28 12:12:13.713,cityNight_640x480.jpg,85,640x480,20,21.47,1.00303,0.0,33,5.6681,6.47
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:13.739,2025-03-28 12:12:13.744,cityNight_640x480.jpg,86,640x480,20,21.47,0.0,0.0,33,5.6681,5.388
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:13.771,2025-03-28 12:12:13.776,cityNight_640x480.jpg,87,640x480,20,21.47,1.00684,0.0,33,5.6681,5.096
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:13.809,2025-03-28 12:12:13.814,cityNight_640x480.jpg,88,640x480,20,21.47,0.0,1.42789,33,5.6681,5.091
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:13.842,2025-03-28 12:12:13.844,cityNight_640x480.jpg,89,640x480,20,21.47,0.4127,0.0,33,5.6681,2.342
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:13.875,2025-03-28 12:12:13.880,cityNight_640x480.jpg,90,640x480,20,21.47,0.0,0.0,33,5.6681,5.94
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:13.909,2025-03-28 12:12:13.909,cityNight_640x480.jpg,91,640x480,20,21.47,0.50545,0.0,33,5.6681,0.856
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:13.941,2025-03-28 12:12:13.947,cityNight_640x480.jpg,92,640x480,20,21.47,1.48177,0.0,33,5.6681,6.751
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:13.975,2025-03-28 12:12:13.980,cityNight_640x480.jpg,93,640x480,20,21.47,0.0,0.0,33,5.6681,5.162
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:14.009,2025-03-28 12:12:14.009,cityNight_640x480.jpg,94,640x480,20,21.47,0.0,0.0,33,5.6681,0.066
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:14.042,2025-03-28 12:12:14.044,cityNight_640x480.jpg,95,640x480,20,21.47,0.30804,0.0,33,5.6681,2.108
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:14.076,2025-03-28 12:12:14.082,cityNight_640x480.jpg,96,640x480,20,21.47,0.0,1.09458,32,5.4963,6.103
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:14.107,2025-03-28 12:12:14.114,cityNight_640x480.jpg,97,640x480,20,21.47,1.00398,0.58866,32,5.4963,7.108
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:14.142,2025-03-28 12:12:14.144,cityNight_640x480.jpg,98,640x480,20,21.47,0.51856,0.0,32,5.4963,2.43
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:14.176,2025-03-28 12:12:14.181,cityNight_640x480.jpg,99,640x480,20,21.47,0.38218,0.0,32,5.4963,5.991
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:14.209,2025-03-28 12:12:14.210,cityNight_640x480.jpg,100,640x480,20,21.47,0.54812,0.0,32,5.4963,1.256
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:14.243,2025-03-28 12:12:14.244,cityNight_640x480.jpg,101,640x480,20,21.47,0.4921,0.0,32,5.4963,1.908
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:14.276,2025-03-28 12:12:14.278,cityNight_640x480.jpg,102,640x480,20,21.47,0.82707,0.0,32,5.4963,2.583
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:14.310,2025-03-28 12:12:14.316,cityNight_640x480.jpg,103,640x480,20,21.47,0.0,0.0,32,5.4963,6.056
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:14.343,2025-03-28 12:12:14.347,cityNight_640x480.jpg,104,640x480,20,21.47,0.33474,0.0,32,5.4963,4.664
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:14.375,2025-03-28 12:12:14.378,cityNight_640x480.jpg,105,640x480,20,21.47,1.74284,0.0,32,5.4963,3.74
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:14.410,2025-03-28 12:12:14.411,cityNight_640x480.jpg,106,640x480,20,21.47,0.3643,0.0,32,5.4963,1.751
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:14.443,2025-03-28 12:12:14.445,cityNight_640x480.jpg,107,640x480,20,21.47,1.49107,0.0,32,5.4963,2.934
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:14.483,2025-03-28 12:12:14.489,cityNight_640x480.jpg,108,640x480,20,21.47,0.0,0.0,32,5.4963,6.327
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:14.524,2025-03-28 12:12:14.530,cityNight_640x480.jpg,109,640x480,20,21.47,1.25384,0.0,32,5.4963,6.25
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:14.559,2025-03-28 12:12:14.564,cityNight_640x480.jpg,110,640x480,20,21.47,1.05095,0.0,32,5.4963,5.393
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:14.593,2025-03-28 12:12:14.598,cityNight_640x480.jpg,111,640x480,20,21.47,0.0,1.19233,32,5.4963,5.514
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:14.623,2025-03-28 12:12:14.629,cityNight_640x480.jpg,112,640x480,20,21.47,0.0,0.0,32,5.4963,6.45
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:14.660,2025-03-28 12:12:14.662,cityNight_640x480.jpg,113,640x480,20,21.47,0.45514,0.0,32,5.4963,2.476
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:14.693,2025-03-28 12:12:14.698,cityNight_640x480.jpg,114,640x480,20,21.47,0.0,0.0,32,5.4963,5.762
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:14.727,2025-03-28 12:12:14.727,cityNight_640x480.jpg,115,640x480,20,21.47,0.46158,0.0,32,5.4963,0.591
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:14.760,2025-03-28 12:12:14.761,cityNight_640x480.jpg,116,640x480,20,21.47,0.0,0.0,32,5.4963,1.578
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:14.793,2025-03-28 12:12:14.795,cityNight_640x480.jpg,117,640x480,20,21.47,0.42272,0.0,32,5.4963,2.801
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:14.826,2025-03-28 12:12:14.826,cityNight_640x480.jpg,118,640x480,20,21.47,0.0,0.0,32,5.4963,0.978
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:14.860,2025-03-28 12:12:14.862,cityNight_640x480.jpg,119,640x480,20,21.47,0.0,0.0,32,5.4963,2.272
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:14.893,2025-03-28 12:12:14.897,cityNight_640x480.jpg,120,640x480,20,21.47,0.0,0.0,32,5.4963,4.979
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:14.927,2025-03-28 12:12:14.931,cityNight_640x480.jpg,121,640x480,20,21.47,0.37241,0.0,32,5.4963,4.663
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:14.960,2025-03-28 12:12:14.962,cityNight_640x480.jpg,122,640x480,20,21.47,0.4046,0.0,32,5.4963,2.382
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:14.994,2025-03-28 12:12:14.996,cityNight_640x480.jpg,123,640x480,20,21.47,0.0,0.0,32,5.4963,2.408
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:15.027,2025-03-28 12:12:15.029,cityNight_640x480.jpg,124,640x480,20,21.47,0.0,0.0,32,5.4963,2.175
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:15.060,2025-03-28 12:12:15.061,cityNight_640x480.jpg,125,640x480,20,21.47,0.84186,0.0,32,5.4963,1.732
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:15.094,2025-03-28 12:12:15.095,cityNight_640x480.jpg,126,640x480,20,21.47,0.0,0.0,30,5.1528,1.82
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:15.127,2025-03-28 12:12:15.132,cityNight_640x480.jpg,127,640x480,20,21.47,0.0,0.0,30,5.1528,5.929
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:15.159,2025-03-28 12:12:15.163,cityNight_640x480.jpg,128,640x480,20,21.47,1.20497,0.0,30,5.1528,4.133
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:15.194,2025-03-28 12:12:15.194,cityNight_640x480.jpg,129,640x480,20,21.47,0.0,0.0,30,5.1528,0.079
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:15.226,2025-03-28 12:12:15.230,cityNight_640x480.jpg,130,640x480,20,21.47,0.0,1.92595,30,5.1528,4.532
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:15.260,2025-03-28 12:12:15.265,cityNight_640x480.jpg,131,640x480,20,21.47,0.0,0.0,30,5.1528,5.304
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:15.294,2025-03-28 12:12:15.294,cityNight_640x480.jpg,132,640x480,20,21.47,0.0,0.0,30,5.1528,0.981
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:15.327,2025-03-28 12:12:15.334,cityNight_640x480.jpg,133,640x480,20,21.47,0.0,0.0,30,5.1528,7.443
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:15.361,2025-03-28 12:12:15.362,cityNight_640x480.jpg,134,640x480,20,21.47,0.80609,0.0,30,5.1528,1.295
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:15.394,2025-03-28 12:12:15.396,cityNight_640x480.jpg,135,640x480,20,21.47,0.47135,0.0,30,5.1528,2.898
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:15.427,2025-03-28 12:12:15.427,cityNight_640x480.jpg,136,640x480,20,21.47,0.0,0.0,30,5.1528,0.868
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:15.461,2025-03-28 12:12:15.464,cityNight_640x480.jpg,137,640x480,20,21.47,0.0,0.0,30,5.1528,3.709
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:15.494,2025-03-28 12:12:15.499,cityNight_640x480.jpg,138,640x480,20,21.47,0.0,1.46961,30,5.1528,5.092
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:15.528,2025-03-28 12:12:15.529,cityNight_640x480.jpg,139,640x480,20,21.47,0.38099,0.0,30,5.1528,1.91
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:15.561,2025-03-28 12:12:15.565,cityNight_640x480.jpg,140,640x480,20,21.47,0.0,0.0,30,5.1528,4.685
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:15.594,2025-03-28 12:12:15.596,cityNight_640x480.jpg,141,640x480,20,21.47,0.37956,0.0,30,5.1528,2.117
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:15.628,2025-03-28 12:12:15.630,cityNight_640x480.jpg,142,640x480,20,21.47,0.74625,0.0,30,5.1528,2.963
